Coin,Name,Symbol,PCoin,PPrice,Trend_1M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
XTM,XTM/USDT,xtmusdt,4,4,2,0.0,0.0598,1,0,0,0,0.0523,0.0522,0.052,0.0575,10000.0521,-9999.945,0.0595,0.0598,0.0578,0.0578,False,False,1,0.0,0.052,0.0523,0.0523
STARLY,STARLY/USDT,starlyusdt,4,4,0,0.0,0.0,0,0,0,0,0.4868,0.4594,0.4587,0.4587,0.4587,-9999.5222,0.4587,0.4587,0.4587,0.4587,False,False,1,0.0,0.4582,0.4868,0.4778
FSN,FSN/USDT,fsnusdt,4,4,2,0.0,0.303,1,0,1,1,0.3062,0.3062,0.2914,0.303,10000.2914,-9999.6938,0.3008,0.303,0.3008,0.3008,False,False,1,0.2914,0.2914,0.3062,0.3062
CNNS,CNNS/USDT,cnnsusdt,2,6,1,0.000278,0.000281,0,1,0,1,0.000226,0.000226,0.000254,0.000281,10000.000226,0.000254,0.000278,0.000281,0.000277,0.000277,False,False,0,0.000281,0.000226,0.000281,0.000226
PRQ,PRQ/USDT,prqusdt,4,4,2,0.0,0.1192,0,0,0,1,0.1231,0.1231,0.1181,0.1192,10000.1171,-9999.8769,0.1181,0.1192,0.1187,0.1187,False,False,1,0.1196,0.1181,0.1231,0.1231
FIRO,FIRO/USDT,firousdt,4,4,2,0.0,0.0,1,0,0,0,1.858,1.858,1.8002,1.823,10001.7703,-9998.142,1.7831,1.7831,1.7831,1.7831,False,False,1,0.0,1.8002,1.858,1.858
STG,STG/USDT,stgusdt,4,4,2,0.0,0.0,0,0,0,0,0.6304,0.6175,0.624,0.624,10000.624,-9999.376,0.624,0.624,0.624,0.624,False,False,1,0.0,0.624,0.6304,0.624
SEELE,SEELE/USDT,seeleusdt,2,6,0,0.0073,0.007316,1,0,1,0,0.007463,0.007463,0.0073,0.007309,0.007306,-9999.992537,0.0073,0.007309,0.007277,0.007277,False,False,1,0.007221,0.0073,0.007463,0.007463
XDEFI,XDEFI/USDT,xdefiusdt,4,4,2,0.0,0.0,2,1,0,0,0.2424,0.2379,0.2384,0.2414,0.2414,-9999.759,0.2388,0.2388,0.2388,0.2388,False,False,0,0.0,0.2379,0.2414,0.2409
MASK,MASK/USDT,maskusdt,4,4,0,1.9899,1.9272,1,0,1,0,2.2087,2.2041,1.9899,1.9941,1.9941,-9997.7959,1.9899,1.9941,1.9485,1.9485,False,False,1,2.0175,1.9899,2.2087,2.2072
PLY,PLY/USDT,plyusdt,4,6,2,0.0,0.0,2,1,0,0,0.002885,0.00278,0.0027,0.002887,0.002887,-9999.997141,0.002803,0.002803,0.002803,0.002803,False,False,0,0.0,0.00278,0.002887,0.002828
