Coin,Name,Symbol,PCoin,PPrice,Trend_4H,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
DF,DF/USDT,dfusdt,2,4,0,0.0236,0.0463,1,0,1,0,0.063,0.0263,0.0236,0.0436,0.0436,-9999.9598,0.0236,0.0436,0.0728,0.0728,False,False,1,0.0206,0.0236,0.063,0.038
BSV*3,BSV*3/USDT,bsv3lusdt,4,10,1,1.859e-05,5.1626e-06,0,1,0,1,4.8e-06,3.505e-06,4.12e-06,5.1626e-06,10000.0000038285,4.12e-06,4.84e-06,5.1626e-06,2.393e-05,2.393e-05,False,False,0,4.63e-06,3.505e-06,5.1626e-06,3.8285e-06
INJ,INJ/USDT,injusdt,4,4,1,5.1171,3.5907,1,2,1,0,2.7416,2.1342,1.5375,3.5907,10001.8238,1.5375,3.6761,3.5907,4.9627,4.9627,False,False,1,1.5375,1.5375,2.7416,2.2229
FTI,FTI/USDT,ftiusdt,2,8,2,0.0,7.387e-05,1,2,1,1,6.098e-05,5.296e-05,4.923e-05,8.769e-05,10000.00005812,4.923e-05,6.237e-05,7.387e-05,6.352e-05,6.352e-05,False,False,1,6.2e-05,4.923e-05,6.098e-05,5.557e-05
WEMIX,WEMIX/USDT,wemixusdt,4,4,0,1.968,2.1882,1,0,1,0,3.9486,2.1259,1.968,2.2599,2.2599,-9997.4629,1.968,2.2599,3.7015,3.7015,False,False,1,2.3338,1.968,3.9486,2.7003
CRU,CRU/USDT,cruusdt,4,4,1,0.0,1.5596,1,2,1,1,1.257,0.9271,0.75,1.5596,10000.9786,0.75,2.708,1.5596,2.708,2.708,False,False,1,0.75,0.75,1.257,1.2011
XCH,XCH/USDT,xchusdt,4,4,2,0.0,0.0,0,1,0,1,45.3179,33.7129,61.8405,68.873,10036.8427,-9938.0284,61.8405,61.8405,61.8405,61.8405,False,False,0,68.873,33.7129,68.873,36.2587
PAX,PAX/USDT,paxusdt,4,4,0,0.9995,0.0,2,1,0,1,1.0032,1.0002,1.0007,1.0024,1.0024,1.0007,1.0007,1.0024,0.9998,0.9998,True,True,0,1.094,1.0002,1.0024,1.0014
RETH,RETH/USDT,rethusdt,4,6,0,0.0,0.0,0,0,0,0,0.240018,0.020001,0.034224,0.034224,0.034224,-9999.954889,0.034224,0.034224,0.034224,0.034224,False,False,0,0.0,0.020001,0.069,0.045948
KLAY,KLAY/USDT,klayusdt,4,4,2,0.0,0.0,0,0,0,0,0.4694,0.343,0.4365,0.4365,10000.4323,-9999.5652,0.4365,0.4365,0.4365,0.4365,False,False,1,0.0,0.343,0.4694,0.4365
LINK,LINK/USDT,linkusdt,2,4,1,6.6297,7.9708,2,1,1,1,7.3031,6.7485,6.6499,7.3651,7.3651,6.6499,7.1643,7.3651,13.3236,13.3236,False,True,0,6.6499,6.7485,7.3651,6.9817
INSUR,INSUR/USDT,insurusdt,4,4,1,0.0,0.4992,2,1,1,1,0.366,0.3001,0.1786,0.4085,0.4085,0.1786,0.54,0.4085,0.6109,0.6109,False,True,0,0.1786,0.3001,0.4085,0.3334
APE,APE/USDT,apeusdt,4,4,1,0.0,17.6456,1,2,1,1,9.7995,6.1984,5.0786,17.6456,10006.8691,5.0786,11.1578,17.6456,11.1578,11.1578,False,False,1,5.0786,5.0786,9.7995,7.7761
GLM,GLM/USDT,glmusdt,4,4,2,0.2467,0.2984,2,1,1,1,0.2596,0.2441,0.2333,0.269,0.269,0.2333,0.2467,0.269,0.4023,0.4023,False,True,0,0.3554,0.2441,0.269,0.2489
LINK*3,LINK*3/USDT,link3lusdt,4,10,1,0.0,6.1e-05,1,2,1,1,1.1e-05,5.8864e-06,4e-06,6.1e-05,10000.000006,4e-06,8.5e-05,6.1e-05,8.5e-05,8.5e-05,False,False,1,4e-06,4e-06,1.1e-05,6.6591e-06
PYR,PYR/USDT,pyrusdt,4,4,2,4.5571,7.2827,2,1,1,1,4.8506,4.181,4.2425,5.0016,5.0016,4.2425,4.5571,5.0016,11.2694,11.2694,False,True,0,5.4908,4.181,5.0016,4.4489
FOR,FOR/USDT,forusdt,2,6,0,0.017022,0.015488,1,0,1,0,0.024579,0.017022,0.017022,0.020381,0.020381,-9999.979926,0.017022,0.015488,0.038447,0.038447,False,False,1,0.013839,0.017533,0.024579,0.018995
DAI,DAI/USDT,daiusdt,2,4,2,0.0,0.0,1,0,0,0,1.2,0.9941,0.9892,0.9996,10001.0,-9998.9993,0.9996,0.9996,0.9996,0.9996,False,False,1,0.0,0.9892,1.2,1.0018
PUSH,PUSH/USDT,pushusdt,4,4,2,0.0,0.5173,1,2,1,1,0.5329,0.5083,0.5083,0.5482,0.5482,0.5086,0.5083,0.5173,1.246,1.246,True,False,1,0.5014,0.5086,0.5329,0.526
BOBA,BOBA/USDT,bobausdt,4,4,1,0.0,0.7032,1,2,1,2,0.5648,0.4145,0.3567,0.7032,10000.4262,0.3567,1.3006,0.7032,1.3006,1.3006,False,False,1,0.3567,0.3567,0.5648,0.46
