Coin,Name,Symbol,PCoin,PPrice,Trend_H1,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
BULL,BULL/USDT,bullusdt,2,6,1,0.013075,0.028143,1,2,1,1,0.035,0.020929,0.017535,0.028143,10000.0183,0.017535,0.021924,0.028143,0.012033,0.012033,False,False,1,0.017535,0.017535,0.035,0.023101
NEST,NEST/USDT,nestusdt,2,5,0,0.03129,0.0,1,0,0,0,0.03615,0.034,0.03129,0.03426,0.03426,-9999.96542,0.03129,0.02542,0.02542,0.02542,False,False,1,0.03426,0.03129,0.03615,0.03466
XDEFI,XDEFI/USDT,xdefiusdt,4,4,2,0.0,0.0,0,1,0,0,0.2733,0.2279,0.2513,0.3741,10000.244,-9999.7422,0.2578,0.2578,0.2578,0.2578,False,False,0,0.0,0.2279,0.3741,0.2425
HT,HT/USDT,htusdt,4,4,0,6.861,7.098,1,2,1,1,7.067,6.9602,6.8588,7.1771,7.1771,6.8588,6.8588,7.0461,7.0203,7.0203,True,False,1,7.1771,6.8588,7.067,7.002
APN,APN/USDT,apnusdt,2,6,1,0.002398,0.0027,0,1,0,1,0.002434,0.002434,0.002574,0.0027,10000.002434,0.002574,0.002598,0.0027,0.002399,0.002399,False,False,0,0.002574,0.002434,0.002583,0.002434
UNB,UNB/USDT,unbusdt,4,6,0,0.0024,0.002768,2,1,1,1,0.002606,0.002543,0.0024,0.002623,0.002623,-9999.997377,0.0024,0.002402,0.001393,0.001393,False,False,0,0.002623,0.002543,0.002623,0.002543
NOIA,NOIA/USDT,noiausdt,4,4,2,0.0704,0.0706,1,2,1,1,0.0711,0.0711,0.07,0.0715,0.0715,0.07,0.07,0.0706,0.0688,0.0688,True,False,1,0.068,0.07,0.0711,0.0711
MATIC,MATIC/USDT,maticusdt,4,6,0,0.651009,0.660169,2,1,1,1,0.671429,0.662492,0.651009,0.686003,0.686003,-9999.328461,0.651009,0.660169,0.668323,0.668323,False,False,0,0.686003,0.662492,0.686003,0.669672
ORBR,ORBR/USDT,orbrusdt,4,4,2,0.0,0.0,0,0,0,0,29.6962,20.849,22.2127,22.2127,10021.241,-9977.6386,22.2127,22.2127,22.2127,22.2127,False,False,1,0.0,22.1715,29.6962,21.1518
POKT,POKT/USDT,poktusdt,2,6,2,0.214531,0.238073,1,0,1,1,0.255501,0.230722,0.213852,0.232456,10000.219166,-9999.758912,0.214531,0.231179,0.255959,0.255959,False,False,1,0.232456,0.213852,0.255501,0.242886
ARV,ARV/USDT,arvusdt,2,8,2,0.0,0.00021015,2,0,1,0,0.00021029,0.00018501,0.00018142,0.00020403,0.00020403,-9999.99980082,0.00019351,0.00020403,0.00019351,0.00019351,False,False,0,0.00018142,0.00018501,0.00020403,0.00019894
BAL,BAL/USDT,balusdt,2,4,0,7.4644,8.2184,1,0,1,0,8.1413,7.6896,7.4644,7.8614,7.8614,-9992.1015,7.4644,7.8614,9.336,9.336,False,False,1,7.3791,7.4662,8.1413,7.8206
PSTAKE,PSTAKE/USDT,pstakeusdt,4,4,2,0.0,0.0,1,0,0,1,0.629,0.3226,0.3167,0.4201,10000.3235,-9999.5821,0.413,0.413,0.413,0.413,False,False,1,0.4201,0.3167,0.629,0.3708
NHBTC,NHBTC/USDT,nhbtcusdt,4,4,2,0.0,0.0142,1,2,1,1,0.0238,0.014,0.0145,0.0249,0.0249,0.0145,0.0145,0.0142,0.015,0.015,True,False,1,0.0117,0.0145,0.0238,0.0179
USDT,USDT/TRY,usdttry,4,3,2,0.0,0.0,0,0,0,0,16.366,15.632,15.222,15.222,10015.529,-9984.208,15.222,15.222,15.222,15.222,False,False,1,0.0,15.213,16.366,16.044
NEAR,NEAR/USDT,nearusdt,2,4,0,5.8673,6.1478,2,1,1,1,6.2312,6.1104,6.0435,6.4038,6.4038,6.0435,6.0435,6.4038,6.5283,6.5283,True,True,0,6.3866,6.1104,6.4038,6.1712
DCR,DCR/USDT,dcrusdt,4,4,2,0.0,0.0,1,0,0,1,43.8818,33.1274,32.6596,33.869,10033.3763,-9962.361,33.1597,33.1597,33.1597,33.1597,False,False,1,33.869,32.6596,43.8818,37.639
EGS,EGS/USDT,egsusdt,4,6,0,0.011426,0.0,2,1,0,1,0.018842,0.015545,0.011426,0.0275,0.0275,-9999.979316,0.011426,0.011852,0.011852,0.011852,False,False,0,0.0275,0.015545,0.0275,0.016603
BLZ,BLZ/USDT,blzusdt,2,4,0,0.079,0.0798,2,1,1,1,0.0807,0.0781,0.0781,0.0824,0.0824,0.0781,0.0781,0.0824,0.0711,0.0711,True,True,0,0.0826,0.0781,0.0824,0.0791
HOT,HOT/USDT,hotusdt,2,6,2,0.002022,0.002069,1,0,1,1,0.002199,0.00205,0.002003,0.002069,10000.002003,-9999.997901,0.002011,0.002069,0.002195,0.002195,False,False,1,0.002003,0.002003,0.002199,0.002099
GMPD,GMPD/USDT,gmpdusdt,2,6,2,0.0,0.0,0,1,0,0,0.050748,0.04975,0.051174,0.051199,10000.050074,-9999.948823,0.051178,0.051178,0.051178,0.051178,False,False,0,0.0,0.04975,0.051199,0.050068
PERP,PERP/USDT,perpusdt,4,4,0,1.1085,1.1641,2,1,1,1,1.1686,1.1413,1.1085,1.2225,1.2225,-9998.8212,1.1085,1.1777,1.2646,1.2646,False,False,0,1.2225,1.1413,1.2225,1.1579
UPI,UPI/USDT,upiusdt,4,4,2,0.0,0.0,0,0,0,0,0.0531,0.022,0.0202,0.0202,10000.0203,-9999.971,0.0202,0.0202,0.0202,0.0202,False,False,1,0.0,0.0178,0.0531,0.0297
MDX,MDX/USDT,mdxusdt,2,4,0,0.0,0.0,0,0,0,0,0.1171,0.0919,0.0912,0.0912,0.0912,-9999.9052,0.0912,0.0912,0.0912,0.0912,False,False,1,0.0,0.0896,0.1171,0.0952
