ID,Coin
3945,ONE
3946,CRE
3947,HNB
3948,TERA
3949,AFIN
3950,NTR
3951,ARRR
3953,EVED
3954,ODEX
3956,BOMB
3957,LEO
3961,BZE
3962,VDX
3964,RSR
3965,TOC
3966,BHD
3968,EUM
3973,AYA
3974,BTC2
3976,BC
3977,SNL
3978,CHR
3980,TCASH
3985,OGO
3986,SCC
3987,BDX
3988,VNT
3990,WFX
3992,COTI
3993,EMT
3996,IOUX
3997,BST
3998,GIG
4001,MPAY
4003,ZNN
4006,STPT
4008,BCZ
4013,XSPC
4014,MCPC
4017,EOSDT
4018,KTS
4020,USDQ
4023,BTCB
4024,RAVEN
4026,DAPP
4027,DVT
4028,MOTA
4030,ALGO
4033,NUT
4034,JAR
4035,HNST
4036,COS
4038,MBL
4039,ARPA
4041,MX
4043,PROPEL
4045,CATT
4047,NBOT
4048,MGC
4051,PAR
4053,QDAO
4054,IGG
4056,AMPL
4058,FO
4060,TRV
4064,USDK
4066,CHZ
4067,CIX100
4069,BURN
4071,UBN
4074,SCP
4075,XCHF
4076,ETHPLO
4077,MAYP
4078,SERO
4079,SLV
4089,BLINK
4090,WXT
4091,PXL
4092,DUSK
4096,ESH
4097,X42
4102,TMN
4103,FLETA
4104,FUZE
4105,XCM
4108,ETM
4112,EVC
4114,GOLD
4115,PVT
4116,TKP
4118,FOR
4119,VD
4120,PROM
4121,SAPP
4122,CCA
4124,EOST
4125,NOIZ
4128,BOOM
4132,BST
4134,AKRO
4136,VLS
4139,BRZ
4142,CBIX
4144,TFBX
4150,GEX
4152,CVCC
4156,IMG
4157,RUNE
4159,BTCT
4160,YEC
4162,STO
4165,CREDIT
4166,RIO
4167,BTR
4172,LUNA
4173,LEVL
4174,BTRL
4176,DAPPT
4180,DDK
4182,GMAT
4183,SFX
4184,ZDX
4189,UOS
4191,NOIA
4193,DYNMT
4195,FTT
4196,PLG
4197,SHR
4199,SWACE
4200,PCX
4202,OPNN
4206,WIN
4207,BIRD
4211,XEQ
4212,LTK
4213,1UP
4215,EM
4217,BOA
4222,1MT
4224,MCASH
4225,CREX
4228,FRM
4229,YO
4230,LHT
4231,HELP
4233,MBN
4238,EVT
4242,PLA
4244,UVU
4245,ENQ
4249,FRA
4250,ZUC
4251,DEEP
4253,CBM
4254,HINT
4256,KLAY
4257,BTRS
4261,XSR
4262,UAT
4263,BCNA
4264,RITO
4268,NYE
4269,GT
4272,TAN
4273,KICKS
4275,COCOS
4276,DEFI
4277,DTEP
4279,SXP
4280,TSHP
4283,BF
4286,ZNZ
4287,JOB
4289,IOEX
4290,LOL
4291,KGC
4292,NBXC
4293,PERL
4297,NBX
4298,RPZX
4299,TOKO
4300,VID
4306,BSOV
4307,UNI
4309,CRON
4315,VDL
4324,JMC
4344,IMGC
4361,BEST
4365,STREAM
4366,MIX
4370,CVT
4380,KLC
4381,YCE
4384,CLC
4385,DIC
4388,EXCC
4397,PEPS
4411,TUP
4424,XDAG
4427,BDCC
4430,VNXLU
4431,VIDY
4441,VXV
4448,ETNX
4452,BDP
4460,PIRATE
4466,ECO
4467,EGG
4487,SCSX
4490,EMRX
4491,FLS
4495,VENA
4502,ABET
4505,MIDAS
4506,HTB
4510,MAR
4512,LN
4520,DVP
4525,YEAR
4534,BITTO
4538,SBE
4542,LYRA
4545,CITY
4546,ZOC
4552,AIRX
4555,FED
4557,USDX
4558,FLOW
4566,XDB
4568,JFC
4571,HDP.ф
4577,LMY
4586,PROB
4618,AKN
4621,USDX
4623,GOM
4630,SIERRA
4642,HBAR
4644,QQQ
4646,BXY
4647,NEWS
4660,TLOS
4664,RCCC
4674,NODE
4677,TEP
4678,GDC
4679,BAND
4680,FYD
4681,CLR
4687,BUSD
4691,ZANO
4693,GXT
4695,EC
4697,RVX
4702,IDRT
